record_id,layer,physical_kind,source_container_absolute,source_archive_entry,source_plist,logical_texture_name,source_locator_absolute,source_locator_repo_relative,export_path,format,width,height,mode,frames,has_alpha,encoded_sha256,pixel_sha256,phash64,encoded_bytes
P-DIRECT-0036,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/common_google_signin_btn_icon_light_normal_background.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/common_google_signin_btn_icon_light_normal_background.9.png,res/drawable-hdpi/common_google_signin_btn_icon_light_normal_background.9.png,all-images/res/drawable-hdpi/common_google_signin_btn_icon_light_normal_background.9.png,PNG,73,73,LA,1,True,DCE2B161AE2F9277B041CC83997E453E7920707D53A414477208511DF574FE08,A5CA8D5EFE5DEC67760568A47BA4CF4CA215E00811170D9F0792B987F5775758,D5D52BD52BD42BD0,663
P-DIRECT-0037,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/common_google_signin_btn_text_dark_normal_background.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/common_google_signin_btn_text_dark_normal_background.9.png,res/drawable-hdpi/common_google_signin_btn_text_dark_normal_background.9.png,all-images/res/drawable-hdpi/common_google_signin_btn_text_dark_normal_background.9.png,PNG,168,73,RGBA,1,True,24BE45403CE8563F6388F3AD330AFE2909790AB7D6E4D3F972BCDAF9E5DCE6EE,7928413C7E481CBC84A0ED16E73A59F80245662A96CE1B95CE375AD8C65C8B9C,E2D51F951F941F84,960
P-DIRECT-0038,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/common_google_signin_btn_text_light_normal_background.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/common_google_signin_btn_text_light_normal_background.9.png,res/drawable-hdpi/common_google_signin_btn_text_light_normal_background.9.png,all-images/res/drawable-hdpi/common_google_signin_btn_text_light_normal_background.9.png,PNG,168,73,LA,1,True,DC9A0AE125491CCDAC95B57B5EEE4060EFD191294E171C8E369D7D0EC3AB2268,88EFEB4A61099C96B00B5099758CB3785AF4CBC289B9F14BE3F6A41EE2AC1CEF,D5D52AD52AD52AD4,694
P-DIRECT-0039,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/googleg_disabled_color_18.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/googleg_disabled_color_18.png,res/drawable-hdpi/googleg_disabled_color_18.png,all-images/res/drawable-hdpi/googleg_disabled_color_18.png,PNG,27,27,LA,1,True,B50AEF754DD18D4AC42393F553C72E1976CF7F60C1B571A6CD29F78E32A83E86,39492E492AF513867F4BA58EE2446E54FB6387A791C17285FAB48E7D696A4AEA,D05A46A59FB56C4B,566
P-DIRECT-0040,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/googleg_standard_color_18.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/googleg_standard_color_18.png,res/drawable-hdpi/googleg_standard_color_18.png,all-images/res/drawable-hdpi/googleg_standard_color_18.png,PNG,27,27,RGBA,1,True,CC95BD25D5E20AA02A12503898147C6408057F05806C008A86D8C203FEB4E581,99C2376A905001BA1EA73092DD7A53C193134A14902323AF9CCF03786F304BFF,FC2D0360F0F29797,965
P-DIRECT-0041,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/notification_bg_low_normal.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/notification_bg_low_normal.9.png,res/drawable-hdpi/notification_bg_low_normal.9.png,all-images/res/drawable-hdpi/notification_bg_low_normal.9.png,PNG,12,12,L,1,False,21F0B55280BE10B187CEFF8EDEF4A5A7047683E6E9FCF47DE410AA3839F41094,60F295A14DC571BD7A0E3F84189FE94BCE56F0264CBA461FE599808DA1B4C400,D4D4D4D4D5D4D5D4,212
P-DIRECT-0042,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/notification_bg_low_pressed.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/notification_bg_low_pressed.9.png,res/drawable-hdpi/notification_bg_low_pressed.9.png,all-images/res/drawable-hdpi/notification_bg_low_pressed.9.png,PNG,12,12,RGB,1,False,42AEE0B03883E94DF5E543348A397D1302C1B8221895871A83B81899F5A9647B,5746CB5E2F813C59FF1DBBE2F92644A69464DD7A06F2137520875BD18412836F,D4D4D4D4D5D4D4D5,225
P-DIRECT-0043,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/notification_bg_normal.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/notification_bg_normal.9.png,res/drawable-hdpi/notification_bg_normal.9.png,all-images/res/drawable-hdpi/notification_bg_normal.9.png,PNG,12,12,L,1,False,0C6328C7B2420570A7EC38B3BEB3BAC9A29D895AC1AB7239315ABA7266418593,0ED2BA259FACC3E2FE63552D5667466D6C97AFBFF524D84927F1C5C122D15769,D4D4D4D4D4D4D5D4,212
P-DIRECT-0044,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/notification_bg_normal_pressed.9.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/notification_bg_normal_pressed.9.png,res/drawable-hdpi/notification_bg_normal_pressed.9.png,all-images/res/drawable-hdpi/notification_bg_normal_pressed.9.png,PNG,12,12,RGB,1,False,18B328D8017E677D5AAD3DBD66BAE356B5CAC978C6F0670938EA648E51D0EB66,82F59015B744DAFEDAE54D699B087B6902E3488A5BAA64265E573DEAAAF45CF3,D4D4D4D4D5D4D5D5,225
P-DIRECT-0045,physical,apk_direct,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk,res/drawable-hdpi/notify_panel_notification_icon_bg.png,,,D:\magia\MyProducts\MagiaRe\Magia_CN_Project\dist\MagiaCN-r128-downloader-fix1.apk!/res/drawable-hdpi/notify_panel_notification_icon_bg.png,res/drawable-hdpi/notify_panel_notification_icon_bg.png,all-images/res/drawable-hdpi/notify_panel_notification_icon_bg.png,PNG,14,14,P,1,False,A3D6BA61761E3957EF14110A4FB26FA2D0255605ACF496E7133093E01392A069,6E68B19E740D04FA5C831C7E33D8663744D2B692CDB00C370F93E81FF51AFC99,F68E72A62FD8DA08,93
